Product,UOM,Quantity,Price,Total
"1.5"" T Drip Edge",PC,,$9,
"2"" C Drip Edge",PC,,$12,
Coil Nail,BOX,,$45,
"3"" 5# Nail",Box,,$11,
T50 Staples,BOX,,$9,
"1-4"" Pipe Boot",PC,,$14,
Zipper Boot,PC,,$32,
Solar Seal Caulk,TUBE,,$10,
7/16 OSB,PC,,$21,
Trim Coil White/Brown/Black,ROLL,,$156,
Trim Coil Terratone + All Others,ROLL,,$165,
Step Flashing,PC,,$69,
Box Vent,PC,,$20,
"Bath Vent 4""",PC,,$32,
"Kitchen Vent 8""",PC,,$56,
Smart Plug,PC,,$15,
QE Valley,PC,,$28,
Economy Ridge vent (OMNI PRO),PC,,$12,
Generic Ice & Water,ROLL,,$65,
Economy Synthetic,ROLL,,$79,
GAF,,,,
GAF WeatherWatch Ice and Water,ROLL,,$95,
GAF Feltbuster Synthetic,ROLL,,$108,
GAF Pro Start,BNDL,,$52,
GAF Snow Country,PC,,$13,
GAF Seal-a-Ridge H&R,BNDL,,$59,
GAF Timberline HDZ,SQ,,$122,
Ultra HDZ GAF,SQ,,$142,
GAF Timbertex Cap,BNDL,,$75,
Certian Teed,,,,
CT Winterguard / GRACE SELECT,ROLL,WG $92,$121,
CT Roof Runner Synthetic,ROLL,,$103,
CT Swift Start,BNDL,,$54,
CT 4' Ridge Vent,PC,,$13,
CT Shadow Ridge H&R,BNDL,,$63,
CT Patriot XL,SQ,,$101,
CT Landmark,SQ,,$110,
CT Landmark PRO,SQ,,$119,
CT Northgate 4bndl/SQ,SQ,,$150,
CT Northgate Cap,BDNL,,$98,
ATLAS,,,,
Atlas Weathermaster Ice & Water,ROLL,,$92,
Atlas Summit 60 Synthetic,ROLL,,$91,
Atlas Pro Cut Starter,BNDL,,$72,
Atlas Pro Cut Hip & Ridge,BNDL,,$71,
ATLAS Pinnacle Pristine,SQ,,$112,
Atlas Impact,SQ,,$128,
ATLAS Stormmaster Shake,SQ,,$165,
Atlas SBS Cap,BNDL,,$93,
Velux,,,,
Velux C06 Skylight w/blinds,PC,,$705.00,
Velux C04 Skylight w/blinds,PC,,$665.00,
Velux Flashing Kit,PC,,$138.00,
